"Case Range","1",,,"2",,,"3",,,"4",,,"5",,,"6",,,"7",,,"8"
"Time, s","R4_ (Z)",,"Time, s","R4_ (Z)",,"Time, s","R4_ (Z)",,"Time, s","R4_ (Z)",,"Time, s","R4_ (Z)",,"Time, s","R4_ (Z)",,"Time, s","R4_ (Z)",,"Time, s","R4_ (Z)"
"0.005875","52401626.0138",,"0.00195833333333","55176529.1885",,"0.001175","55670037.318",,"0.000839285714286","54144566.4001",,"0.000652777777778","51534918.8666",,"0.000534090909091","48542393.4966",,"0.000451923076923","45584647.1258",,"0.000391666666667","42876679.5375"
"0.006","54036876.5777",,"0.002","57446766.5627",,"0.0012","59356330.5825",,"0.000857142857143","59411008.2295",,"0.000666666666667","58206074.5616",,"0.000545454545455","56351591.3897",,"0.000461538461538","54271952.8433",,"0.0004","52218313.4668"
"0.006125","56207834.5806",,"0.00204166666667","60377728.3429",,"0.001225","63249183.8518",,"0.000875","64502590.4145",,"0.000680555555556","64475607.6417",,"0.000556818181818","63656031.3939",,"0.000471153846154","62435479.2312",,"0.000408333333333","61072414.7509"
"0.00625","58432302.7217",,"0.00208333333333","63849515.3223",,"0.00125","67583896.7172",,"0.000892857142857","69798768.7722",,"0.000694444444444","70747030.6492",,"0.000568181818182","70825840.4122",,"0.000480769230769","70387786.6105",,"0.000416666666667","69684998.5961"
"0.006375","60151246.29",,"0.002125","67044648.8858",,"0.001275","71722753.849",,"0.000910714285714","74822406.2185",,"0.000708333333333","76638415.3716",,"0.000579545454545","77526345.1992",,"0.000490384615385","77811442.6343",,"0.000425","77739159.5485"
"0.0065","60949978.8462",,"0.00216666666667","68977129.0769",,"0.0013","74601743.0078",,"0.000928571428571","78561714.0662",,"0.000722222222222","81202014.1367",,"0.000590909090909","82858981.9654",,"0.0005","83839901.2033",,"0.000433333333333","84384560.8921"
"0.006625","60569839.7403",,"0.00220833333333","68695078.3942",,"0.001325","74941425.981",,"0.000946428571429","79626072.1635",,"0.000736111111111","83026624.6395",,"0.000602272727273","85431002.2992",,"0.000509615384615","87115179.5572",,"0.000441666666667","88304819.9403"
"0.00675","59053462.243",,"0.00225","65830622.3399",,"0.00135","71990483.9313",,"0.000964285714286","77018192.187",,"0.00075","80953505.5482",,"0.000613636363636","83973382.6314",,"0.000519230769231","86289733.8068",,"0.00045","88099169.4096"
"0.006875","56139635.9902",,"0.00229166666667","59606416.2547",,"0.001375","64528756.7696",,"0.000982142857143","69229403.5514",,"0.000763888888889","73298905.3758",,"0.000625","76697539.7263",,"0.000528846153846","79519752.6247",,"0.000458333333333","81891767.8872"
"0.007","54004524.0161",,"0.00233333333333","53705569.3622",,"0.0014","56454212.6821",,"0.001","60000902.836",,"0.000777777777778","63528216.7647",,"0.000636363636364","66760269.5165",,"0.000538461538462","69648857.5088",,"0.000466666666667","72230521.1656"
