"Case Range","1",,,"2",,,"3",,,"4"
"Time, s","R4_ (Z)",,"Time, s","R4_ (Z)",,"Time, s","R4_ (Z)",,"Time, s","R4_ (Z)"
"0.02075","-966052.336649",,"0.00691666666667","-2279719.46329",,"0.00415","-3608581.61401",,"0.00296428571429","-4562897.09833"
"0.020875","-983977.975552",,"0.00695833333333","-2287168.67707",,"0.004175","-3523863.37814",,"0.00298214285714","-4437467.48229"
"0.021","-909191.613066",,"0.007","-2238999.95586",,"0.0042","-3421155.29898",,"0.003","-4309333.70893"
"0.021125","-783942.591838",,"0.00704166666667","-2136980.73323",,"0.004225","-3286237.36173",,"0.00301785714286","-4159607.64275"
"0.02125","-772339.597618",,"0.00708333333333","-2131259.64613",,"0.00425","-3232378.50931",,"0.00303571428571","-4072760.42655"
"0.021375","-1004895.54248",,"0.007125","-2411647.86065",,"0.004275","-3442649.92459",,"0.00305357142857","-4212776.63273"
"0.0215","-1458875.29112",,"0.00716666666667","-3041930.77933",,"0.0043","-4023963.89018",,"0.00307142857143","-4705856.12966"
"0.021625","-2221245.37347",,"0.00720833333333","-4147771.09156",,"0.004325","-5114528.68077",,"0.00308928571429","-5695806.27204"
"0.02175","-3354256.2361",,"0.00725","-5873654.44879",,"0.00435","-6883211.22765",,"0.00310714285714","-7358786.05738"
"0.021875","-4204382.87086",,"0.00729166666667","-7657725.52663",,"0.004375","-8949702.14813",,"0.003125","-9456118.86311"
"0.022","-4151117.34909",,"0.00733333333333","-8618122.5916",,"0.0044","-10504544.4753",,"0.00314285714286","-11308079.7472"
"0.022125","-3515581.2845",,"0.007375","-8619725.72318",,"0.004425","-11175992.1405",,"0.00316071428571","-12447901.2522"
"0.02225","-2806331.14307",,"0.00741666666667","-8062087.19779",,"0.00445","-11135021.7773",,"0.00317857142857","-12871521.0805"
"0.022375","-2341375.54469",,"0.00745833333333","-7433565.73695",,"0.004475","-10790267.4714",,"0.00319642857143","-12869690.5871"
"0.0225","-2012155.09177",,"0.0075","-6870209.96838",,"0.0045","-10367275.5154",,"0.00321428571429","-12678187.4022"
"0.022625","-2015369.76893",,"0.00754166666667","-6655016.4554",,"0.004525","-10175077.8875",,"0.00323214285714","-12601611.3131"
"0.02275","-2980197.74985",,"0.00758333333333","-7573366.18027",,"0.00455","-10950018.5666",,"0.00325","-13297899.9714"
"0.022875","-3617285.53458",,"0.007625","-8698249.30946",,"0.004575","-12179120.4938",,"0.00326785714286","-14535040.8301"
"0.023","-3410636.60975",,"0.00766666666667","-9089983.13218",,"0.0046","-12978407.5156",,"0.00328571428571","-15581137.2562"
"0.023125","-3244651.05706",,"0.00770833333333","-9148337.14979",,"0.004625","-13388521.7995",,"0.00330357142857","-16286760.1819"
"0.02325","-2822359.59768",,"0.00775","-8787177.83932",,"0.00465","-13334498.971",,"0.00332142857143","-16544964.0093"
"0.023375","-1793920.24689",,"0.00779166666667","-7621509.38554",,"0.004675","-12484468.7186",,"0.00333928571429","-16061815.0274"
"0.0235","-749234.844272",,"0.00783333333333","-5988072.41495",,"0.0047","-10982839.5385",,"0.00335714285714","-14863494.2655"
"0.023625","-243055.1685",,"0.007875","-4583080.32025",,"0.004725","-9406013.59449",,"0.003375","-13391144.5365"
"0.02375","-240396.023943",,"0.00791666666667","-3731575.74233",,"0.00475","-8183396.96528",,"0.00339285714286","-12080498.0725"
"0.023875","-456902.747254",,"0.00795833333333","-3351294.1213",,"0.004775","-7397570.00617",,"0.00341071428571","-11109306.188"
"0.024","-869963.08579",,"0.008","-3427135.58806",,"0.0048","-7094665.17169",,"0.00342857142857","-10575837.8926"
"0.024125","-1285250.70009",,"0.00804166666667","-3782512.18689",,"0.004825","-7173617.57654",,"0.00344642857143","-10444932.6833"
"0.02425","-1344751.23738",,"0.00808333333333","-3969911.86411",,"0.00485","-7257916.50531",,"0.00346428571429","-10424155.9912"
"0.024375","-1060084.49198",,"0.008125","-3763882.9403",,"0.004875","-7054701.21105",,"0.00348214285714","-10217610.3678"
"0.0245","-632978.516415",,"0.00816666666667","-3230025.14456",,"0.0049","-6515042.67207",,"0.0035","-9709733.848"
"0.024625","-38368.2379123",,"0.00820833333333","-2356369.25337",,"0.004925","-5597768.59612",,"0.00351785714286","-8829643.47713"
"0.02475","571285.251336",,"0.00825","-1273185.61864",,"0.00495","-4380844.51744",,"0.00353571428571","-7610813.43389"
"0.024875","824991.806137",,"0.00829166666667","-405546.527116",,"0.004975","-3218537.01925",,"0.00355357142857","-6331182.14562"
"0.025","675274.522636",,"0.00833333333333","-15662.4541069",,"0.005","-2429514.54349",,"0.00357142857143","-5308427.22852"
"0.025125","282109.796703",,"0.008375","-84543.1926024",,"0.005025","-2103376.44722",,"0.00358928571429","-4694467.06969"
"0.02525","-406708.758438",,"0.00841666666667","-679300.16643",,"0.00505","-2337454.47413",,"0.00360714285714","-4612823.9062"
"0.025375","-1174963.10386",,"0.00845833333333","-1642460.33032",,"0.005075","-3053594.8891",,"0.003625","-5046028.23348"
"0.0255","-1393672.37125",,"0.0085","-2277590.884",,"0.0051","-3680247.08817",,"0.00364285714286","-5550645.74234"
"0.025625","-612212.916587",,"0.00854166666667","-1765514.4932",,"0.005125","-3375718.2245",,"0.00366071428571","-5352993.79048"
"0.02575","371092.526739",,"0.00858333333333","-532053.183195",,"0.00515","-2224120.64282",,"0.00367857142857","-4324869.02281"
"0.025875","854088.291371",,"0.008625","498938.479983",,"0.005175","-998974.887586",,"0.00369642857143","-3048553.06271"
"0.026","1713773.85755",,"0.00866666666667","1842991.91926",,"0.0052","515576.586222",,"0.00371428571429","-1476493.8352"
"0.026125","2351971.75583",,"0.00870833333333","3161917.63177",,"0.005225","2126522.30646",,"0.00373214285714","267207.364811"
"0.02625","1968931.48654",,"0.00875","3525566.63169",,"0.00525","3046356.44037",,"0.00375","1545810.16175"
"0.026375","1392857.5062",,"0.00879166666667","3258862.64157",,"0.005275","3274653.49647",,"0.00376785714286","2188942.73894"
"0.0265","867865.240786",,"0.00883333333333","2723902.49674",,"0.0053","3073003.59715",,"0.00378571428571","2341837.69642"
"0.026625","333327.527813",,"0.008875","2016583.24671",,"0.005325","2578272.09611",,"0.00380357142857","2131871.8191"
"0.02675","91408.2208676",,"0.00891666666667","1480618.47842",,"0.00535","2097459.46159",,"0.00382142857143","1819112.59034"
"0.026875","409844.011596",,"0.00895833333333","1562241.7616",,"0.005375","2086055.47413",,"0.00383928571429","1823807.5246"
"0.027","1283276.13043",,"0.009","2488806.90028",,"0.0054","2880098.72127",,"0.00385714285714","2521989.35084"
"0.027125","1932378.50777",,"0.00904166666667","3622404.11979",,"0.005425","4101301.96639",,"0.003875","3733294.27847"
"0.02725","1892846.04917",,"0.00908333333333","4196700.95769",,"0.00545","5039881.39328",,"0.00389285714286","4876014.60046"
"0.027375","1565545.31117",,"0.009125","4207249.22074",,"0.005475","5461526.18668",,"0.00391071428571","5619446.92385"
