speed,Irms,phase,Lab_AC_W,json_Hyb_W,json_TS_W,ratio,AF
8000,460.05,54,27528.2864087154,27929.7270775167,31464.7175505185,0.985626760057943,1.12656731171023
8000,460.05,72,29122.4629254901,28900.035273199,26439.1236946319,1.00769644916307,0.914847454153482
8000,460.05,90,28496.7328906482,28629.9627749659,26242.8742968158,0.995346487686175,0.916622718062442
8000,690.025,0,31895.9466705207,32148.8187416703,71441.5235800631,0.992134327759238,2.22221301983525
8000,690.025,18,36379.3433960543,36733.6036039562,69530.9028248296,0.990355963664186,1.89284186693138
8000,690.025,36,43961.6029831648,44042.754589968,69124.8112925779,0.998157435710851,1.56949336925268
8000,690.025,54,53773.2059592526,54317.1333441772,65584.7858137813,0.989986080791893,1.20744195755338
8000,690.025,72,61422.7554279893,60841.9275553776,56826.5933289803,1.00954650675857,0.934003829468706
8000,690.025,90,58996.9770693171,59207.0724228312,56435.7245178526,0.996451515926785,0.953192282753201
8000,920,0,49693.1036303917,50116.561327254,116293.797467515,0.991550543659667,2.32046641644333
8000,920,18,55163.1213654393,55405.1293320761,113691.798960227,0.995632029569206,2.05200854741812
8000,920,36,63774.8663875114,64641.4621804209,111099.940945945,0.98659380893194,1.71871020856325
8000,920,54,79452.9358217199,78901.1789419239,103845.584998046,1.00699301185603,1.31614744406396
8000,920,72,96044.3141613484,96999.2418707353,94590.3318751442,0.990155307495502,0.975165682234906
8000,920,90,97318.3732678527,97722.3780192108,99027.9956782369,0.995865790829623,1.01336047776866
16000,0.1,0,27.7438253870603,27.0282066332892,47.246269762998,1.02647673830086,1.74803568745872
16000,0.1,18,27.4559148010263,27.0771196825948,47.2301087075706,1.01398949086431,1.74428112226169
16000,0.1,36,27.0596971078545,27.1099699094224,47.2137262048989,0.998145597293693,1.74156320949988
16000,0.1,54,27.0433751384256,27.1246858058668,47.2295681668764,0.997002336984727,1.74120240525186
16000,0.1,72,27.8889844056683,27.1340982470026,47.2178290879189,1.0278205729114,1.74016577437339
16000,0.1,90,27.231007210944,27.1713847672344,47.2009620437762,1.00219431008837,1.73715702928381
16000,230.075,0,15889.2375631133,16537.7218399482,24589.1496831092,0.960787568982539,1.48685229568393
16000,230.075,18,18128.2507118801,18646.0502290134,25546.9618801925,0.972230069597923,1.37010045379162
16000,230.075,36,19896.6205181187,20402.9282771294,25182.9821485291,0.975184554288796,1.23428273659904
